Q value	Counts	Error
-3.00333	4	2
-2.93	2	1.41421
-2.85667	2	1.41421
-2.78333	1	1
-2.71	1	1
-2.63667	1	1
-2.56333	4	2
-2.49	1	1
-2.41667	2	1.41421
-2.34333	1	1
-2.27	1	1
-2.19667	3	1.73205
-2.12333	0	0
-2.05	2	1.41421
-1.97667	4	2
-1.90333	8	2.82843
-1.83	7	2.64575
-1.75667	4	2
-1.68333	10	3.16228
-1.61	8	2.82843
-1.53667	27	5.19615
-1.46333	21	4.58258
-1.39	21	4.58258
-1.31667	32	5.65685
-1.24333	40	6.32456
-1.17	33	5.74456
-1.09667	36	6
-1.02333	41	6.40312
-0.95	44	6.63325
-0.876667	45	6.7082
-0.803333	42	6.48074
-0.73	35	5.91608
-0.656667	19	4.3589
-0.583333	13	3.60555
-0.51	7	2.64575
-0.436667	9	3
-0.363333	8	2.82843
-0.29	11	3.31662
-0.216667	6	2.44949
-0.143333	8	2.82843
-0.07	6	2.44949
0.00333333	3	1.73205
0.0766667	1	1
0.15	1	1
0.223333	0	0
0.296667	1	1
0.37	1	1
0.443333	0	0
0.516667	0	0
0.59	0	0
0.663333	0	0
0.736667	0	0
0.81	0	0
0.883333	0	0
0.956667	0	0
1.03	0	0
1.10333	0	0
1.17667	2	1.41421
1.25	0	0
1.32333	0	0
1.39667	0	0
1.47	0	0
1.54333	1	1
1.61667	1	1
1.69	0	0
1.76333	0	0
1.83667	0	0
1.91	0	0
1.98333	0	0
2.05667	0	0
2.13	0	0
2.20333	2	1.41421
2.27667	0	0
2.35	7	2.64575
2.42333	1	1
2.49667	7	2.64575
2.57	10	3.16228
2.64333	16	4
2.71667	20	4.47214
2.79	15	3.87298
2.86333	12	3.4641
2.93667	8	2.82843
3.01	12	3.4641
3.08333	9	3
3.15667	6	2.44949
3.23	0	0
3.30333	0	0
3.37667	0	0
3.45	0	0
3.52333	0	0
3.59667	0	0
3.67	0	0
3.74333	0	0
3.81667	0	0
3.89	0	0
3.96333	0	0
4.03667	4	2
